date,token_id,price,trading_volume,trend,post_counts
2024-05-13,shiba-inu,2.23157709706174e-05,155099872.4,3,5
2024-05-13,pepe,8.75451945311551e-06,449908904.5,74,5
2024-05-13,bonk,2.28064375095523e-05,73015544.17,6,5
2024-05-13,floki,0.000169597294776839,70666742.76,5,5
2024-05-13,mog-coin,4.50779429723597e-07,1981872.211,8,5
2024-05-14,shiba-inu,2.33030660041308e-05,847101095.3,2,0
2024-05-14,pepe,9.85049949358771e-06,1998452405.0,78,0
2024-05-14,bonk,2.3323903218929e-05,288151977.9,6,0
2024-05-14,floki,0.000182604079546317,330215864.6,6,0
2024-05-14,mog-coin,5.45909887483074e-07,6643323.313,10,0
2024-05-15,shiba-inu,2.29525834875842e-05,781955066.6,3,1
2024-05-15,pepe,1.05112974455574e-05,2467823169.0,78,1
2024-05-15,bonk,2.28989839098416e-05,249556693.9,6,1
2024-05-15,floki,0.0001885762652946,519612071.7,8,1
2024-05-15,mog-coin,5.5420086288548e-07,8175413.99,9,1
